R31,1k,ESR03EZPJ102
"R32,33",220R,ESR03EZPJ221
Q1-Q6,,NTMFS5C604NLT1G
"R1,R34,R35,R8,R10,R15,R17",2k2,RC0603FR-072K2L
D3,LED BLE,LB Q39G-L2OO-35-1
D4,GREEN,LTST-C191KGKT
D5,RED,LTST-C191KRKT
"R29,R30",22R,ERJ-3EKF22R0V
"J8,J8*(on PCB only)","COMM1,COMM2",68683-303LF
"C2,C8",15pF,GRM1885C2A150JA01D
"C7,C25",0.1uF,06035G104ZAT2A
"C1,C3,C4,C5,C6,C9,C10,C11,C12,C13,C14,C16,C29,C31,C38,C39,C40",2.2uF,GRM188R6YA225MA12D
X1,,ABM3B-8.000MHZ-10-1-U-T
"R2,R5,R22",10k,RR1220P-103-D
R3,32.4k,ERJ-3EKF3242V
R4,147k,ERJ-3EKF1473V
R6,732k,CRCW0603732KFKEA
C15,750p,CL10B751KB8NNNC
C18,6.8p,CGA3E2NP02A6R8D080AA
C17,0.022uF,CL10B223KB8NNWC
C20,6.8nF,06035C682J4T2A
"C22,C27,C28",220nF,GCM188R71H224KA64D
"R7,R9,R14,R16",39k,AC0603FR-0739KL
R21,NTC 10k,B57330V2103F260
"R18,R19,R23,R24,R26,R27",4R7,RK73B1JTTD4R7J
"C19,C21,C24",4.7nF,CL10B472KC8NNNC
"R11,R12,R13",100R,RC0603FR-07100RL
"R20,R25,R28,R36(on PCB only)",.005R,WSLF2512L5000FEA
"U3,U4,U5",,AD8418WBRMZ
U1,,STM32F405RGT6
U2,,DRV8301DCAR
"C23,C26,C32,C33,C34,C35,C36,C37",4.7uF,C1206C475K5PACTU
"C59,C60,C61,C62,C63",10uF,UMK316BBJ106ML-T
C45,22uF,CL21A226MOCLRNC
L1,47uH,TYS5040470M-10
D1,,SMD26PL-TP
